# q                 I(q)             
  2.22361e-01       1.56669e-03      
  2.23612e-01       1.48630e-03      
  2.24862e-01       1.40510e-03      
  2.26113e-01       1.32348e-03      
  2.27363e-01       1.24183e-03      
  2.28614e-01       1.16057e-03      
  2.29865e-01       1.08010e-03      
  2.31115e-01       1.00085e-03      
  2.32366e-01       9.23209e-04      
  2.33617e-01       8.47590e-04      
  2.34867e-01       7.74369e-04      
  2.36118e-01       7.03908e-04      
  2.37368e-01       6.36542e-04      
  2.38619e-01       5.72579e-04      
  2.39870e-01       5.12292e-04      
  2.41120e-01       4.55920e-04      
  2.42371e-01       4.03663e-04      
  2.43622e-01       3.55682e-04      
  2.44872e-01       3.12097e-04      
  2.46123e-01       2.72984e-04      
  2.47373e-01       2.38380e-04      
  2.48624e-01       2.08278e-04      
  2.49875e-01       1.82634e-04      
  2.51125e-01       1.61362e-04      
  2.52376e-01       1.44342e-04      
  2.53627e-01       1.31419e-04      
  2.54877e-01       1.22407e-04      
  2.56128e-01       1.17094e-04      
  2.57378e-01       1.15242e-04      
  2.58629e-01       1.16593e-04      
  2.59880e-01       1.20875e-04      
  2.61130e-01       1.27800e-04      
  2.62381e-01       1.37074e-04      
  2.63632e-01       1.48400e-04      
  2.64882e-01       1.61477e-04      
  2.66133e-01       1.76011e-04      
  2.67383e-01       1.91712e-04      
  2.68634e-01       2.08301e-04      
  2.69885e-01       2.25512e-04      
  2.71135e-01       2.43096e-04      
  2.72386e-01       2.60820e-04      
  2.73637e-01       2.78471e-04      
  2.74887e-01       2.95858e-04      
  2.76138e-01       3.12812e-04      
  2.77388e-01       3.29186e-04      
  2.78639e-01       3.44859e-04      
  2.79890e-01       3.59729e-04      
  2.81140e-01       3.73721e-04      
  2.82391e-01       3.86779e-04      
  2.83642e-01       3.98868e-04      
  2.84892e-01       4.09975e-04      
  2.86143e-01       4.20101e-04      
  2.87393e-01       4.29265e-04      
  2.88644e-01       4.37501e-04      
  2.89895e-01       4.44852e-04      
  2.91145e-01       4.51373e-04      
  2.92396e-01       4.57125e-04      
  2.93647e-01       4.62174e-04      
  2.94897e-01       4.66591e-04      
  2.96148e-01       4.70446e-04      
  2.97398e-01       4.73808e-04      
  2.98649e-01       4.76744e-04      
  2.99900e-01       4.79315e-04      
  3.01150e-01       4.81578e-04      
  3.02401e-01       4.83581e-04      
  3.03652e-01       4.85364e-04      
  3.04902e-01       4.86958e-04      
  3.06153e-01       4.88386e-04      
  3.07404e-01       4.89659e-04      
  3.08654e-01       4.90778e-04      
  3.09905e-01       4.91736e-04      
  3.11155e-01       4.92516e-04      
  3.12406e-01       4.93092e-04      
  3.13657e-01       4.93429e-04      
  3.14907e-01       4.93488e-04      
  3.16158e-01       4.93223e-04      
  3.17409e-01       4.92581e-04      
  3.18659e-01       4.91509e-04      
  3.19910e-01       4.89951e-04      
  3.21160e-01       4.87851e-04      
  3.22411e-01       4.85153e-04      
  3.23662e-01       4.81803e-04      
  3.24912e-01       4.77754e-04      
  3.26163e-01       4.72959e-04      
  3.27414e-01       4.67381e-04      
  3.28664e-01       4.60989e-04      
  3.29915e-01       4.53760e-04      
  3.31165e-01       4.45680e-04      
  3.32416e-01       4.36744e-04      
  3.33667e-01       4.26957e-04      
  3.34917e-01       4.16336e-04      
  3.36168e-01       4.04905e-04      
  3.37419e-01       3.92701e-04      
